Material Description                    , Plant, Period, Year, Amount in LC       , Quantity
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 19189.34545454545  , 635.4545454545455
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 13970.063636363635 , 463.03030303030306
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 14557.118181818181 , 482.42424242424244
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 16529.254545454543 , 547.5757575757576
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 11007.272727272726 , 365.1515151515152
Crate: Red Quart                        , AA   , 7     , 2022, -5263.636363636363 , -362.1212121212121
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 18317.936363636363 , 606.6666666666667
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 13584.80909090909  , 450.3030303030303
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 10823.818181818182 , 359.0909090909091
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 12805.127272727272 , 424.54545454545456
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 14731.4            , 488.1818181818182
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 4650.572727272727  , 155.15151515151516
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, -733.8181818181818 , -22.72727272727273
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 330.2181818181818  , 12.424242424242426
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 926.4454545454545  , 32.121212121212125
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 1531.8454545454545 , 52.121212121212125
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 18244.554545454543 , 604.2424242424242
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 3448.9454545454546 , 115.45454545454547
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 752.1636363636363  , 26.363636363636363
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 376.08181818181816 , 13.93939393939394
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 302.7              , 11.515151515151516
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 165.1090909090909  , 6.96969696969697
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 1733.6454545454544 , 58.78787878787879
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 11190.727272727272 , 371.21212121212125
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 11575.981818181817 , 383.93939393939394
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 3953.445454545454  , 132.12121212121212
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 2568.363636363636  , 86.36363636363637
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 3540.6727272727267 , 118.48484848484848
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 999.8272727272725  , 34.54545454545455
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 256.8363636363636  , 10.0
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 8842.50909090909   , 293.6363636363636
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 26857.745454545453 , 888.7878787878789
B&CR: 750RB Amber Calabash & Brown Crate, AA   , 7     , 2022, 2989.672727272727  , 105.75757575757576
B&CR: 750RB Amber Calabash & Brown Crate, AA   , 7     , 2022, 3093.9636363636364 , 109.3939393939394
B&CR: 750RB Amber Calabash & Brown Crate, AA   , 7     , 2022, 9455.709090909091  , 331.21212121212125
B&CR: 750RB Amber Calabash & Brown Crate, AA   , 7     , 2022, 8395.41818181818   , 294.24242424242425
B&CR: 750RB Amber Calabash & Brown Crate, AA   , 7     , 2022, 8430.181818181818  , 295.4545454545455
B&CR: 750RB Amber Calabash & Brown Crate, AA   , 7     , 2022, 8586.618181818181  , 300.90909090909093
B&CR: 750RB Amber Calabash & Brown Crate, AA   , 7     , 2022, 8464.945454545454  , 296.6666666666667
B&CR: 750RB Amber Calabash & Brown Crate, AA   , 7     , 2022, 11332.945454545454 , 396.6666666666667
B&CR: 750RB Amber Calabash & Brown Crate, AA   , 7     , 2022, 11298.181818181818 , 395.4545454545455
B&CR: 750RB Amber Calabash & Brown Crate, AA   , 7     , 2022, 10394.327272727272 , 363.93939393939394
B&CR: 750RB Amber Calabash & Brown Crate, AA   , 7     , 2022, 10533.381818181817 , 368.7878787878788
B&CR: 750RB Amber Calabash & Brown Crate, AA   , 7     , 2022, 8499.709090909091  , 297.8787878787879
B&CR: 750RB Amber Calabash & Brown Crate, AA   , 7     , 2022, 7161.30909090909   , 251.21212121212122
B&CR: 750RB Amber Calabash & Brown Crate, AA   , 7     , 2022, 7004.8727272727265 , 245.75757575757578
B&CR: 750RB Amber Calabash & Brown Crate, AA   , 7     , 2022, 1095.0545454545454 , 39.6969696969697
Crate: Brown Quart                      , AA   , 7     , 2022, -552.6818181818181 , -36.66666666666667
